transaction_id,timestamp,user_id,user_role,transaction_type,electricity_quantity,price_per_mwh,total_cost,latency_ms,security_level,encryption_method,zt_authentication,network_slice_id,transaction_status,grid_region,smart_meter_id,grid_demand_state,weather_condition,energy_source,carbon_tax_fee
TXN8244,2025-02-14 10:46:07,U4501,Authority,,0.0,0.0,0.0,20,Low,AES,0,Slice_C,Success,Industrial_Park,MTR-0243,Normal,Stormy,Wind,0.0
TXN5649,2025-02-14 10:35:11,U6491,Dealer,Buy,70.55,32.25,2275.24,11,High,TDKE,1,Slice_A,Success,North_Zone,MTR-0154,Normal,Heatwave,Hydro,0.0
TXN5011,2025-02-14 10:32:26,U2193,Supplier,Sell,89.75,35.76,3209.46,27,Low,RSA,0,Slice_B,Pending,Rural_Grid,MTR-0399,Normal,Cloudy,Hydro,0.0
TXN4997,2025-02-14 10:10:04,U1090,Dealer,Sell,29.7,38.04,1129.79,27,Low,RSA,0,Slice_A,Failed,Rural_Grid,MTR-0305,Normal,Sunny,Solar,0.0
TXN5082,2025-02-14 10:57:54,U2988,Supplier,Buy,82.13,36.68,3012.53,22,Low,RSA,0,Slice_B,Failed,North_Zone,MTR-0111,Normal,Sunny,Solar,0.0
TXN9270,2025-02-14 10:29:07,U9976,Supplier,Buy,76.93,34.75,2673.32,13,High,TDKE,1,Slice_C,Pending,Industrial_Park,MTR-0457,Normal,Stormy,Wind,0.0
TXN9540,2025-02-14 10:33:04,U4919,Supplier,Sell,16.97,32.86,557.63,13,Medium,RSA,1,Slice_C,Success,Rural_Grid,MTR-0433,Normal,Heatwave,Solar,0.0
TXN3267,2025-02-14 10:10:17,U4788,Supplier,Buy,73.58,30.64,2254.49,18,Medium,RSA,1,Slice_B,Success,Metro_Hub,MTR-0352,Normal,Stormy,Natural Gas,147.16
TXN4388,2025-02-14 10:56:51,U7883,Supplier,Buy,87.11,37.66,3280.56,17,Medium,AES,1,Slice_B,Pending,North_Zone,MTR-0385,Normal,Cloudy,Natural Gas,174.22
TXN7389,2025-02-14 10:58:15,U7865,Authority,,0.0,0.0,0.0,28,Low,AES,0,Slice_B,Success,South_Zone,MTR-0013,Normal,Cloudy,Wind,0.0
TXN5471,2025-02-14 10:29:45,U8956,Dealer,Sell,40.25,36.79,1480.8,17,Low,AES,0,Slice_B,Success,Metro_Hub,MTR-0093,Normal,Stormy,Coal,181.12
TXN9751,2025-02-14 10:01:50,U7455,Authority,,0.0,0.0,0.0,23,Low,AES,0,Slice_A,Failed,North_Zone,MTR-0384,Normal,Heatwave,Coal,0.0
TXN8022,2025-02-14 10:09:15,U8564,Dealer,Buy,33.41,33.27,1111.55,19,Medium,RSA,1,Slice_B,Pending,Rural_Grid,MTR-0001,Normal,Heatwave,Solar,0.0
TXN7906,2025-02-14 10:17:13,U2341,Supplier,Buy,77.41,30.52,2362.55,16,High,TDKE,1,Slice_C,Success,Metro_Hub,MTR-0492,Normal,Cloudy,Natural Gas,154.82
TXN1659,2025-02-14 10:51:29,U1508,Dealer,Buy,85.53,36.21,3097.04,12,High,TDKE,1,Slice_B,Failed,Industrial_Park,MTR-0326,Normal,Stormy,Wind,0.0
TXN2874,2025-02-14 10:38:30,U4571,Supplier,Sell,79.02,31.68,2503.35,24,Low,AES,0,Slice_A,Pending,North_Zone,MTR-0289,Normal,Cloudy,Hydro,0.0
TXN2771,2025-02-14 10:39:30,U1420,Supplier,Sell,45.7,37.15,1697.76,7,Low,AES,0,Slice_A,Failed,Rural_Grid,MTR-0420,Normal,Clear Night,Natural Gas,91.4
TXN5941,2025-02-14 10:58:02,U2983,Authority,,0.0,0.0,0.0,30,High,TDKE,1,Slice_B,Failed,Rural_Grid,MTR-0354,Normal,Heatwave,Hydro,0.0
TXN8018,2025-02-14 10:45:09,U7071,Dealer,Sell,11.14,34.2,380.99,20,High,TDKE,1,Slice_B,Pending,Industrial_Park,MTR-0077,Normal,Clear Night,Wind,0.0
TXN8532,2025-02-14 10:48:17,U3506,Supplier,Buy,76.04,39.65,3014.99,13,Low,RSA,0,Slice_B,Pending,Rural_Grid,MTR-0350,Normal,Stormy,Coal,342.18
TXN5397,2025-02-14 10:22:00,U5022,Dealer,Sell,89.35,32.44,2898.51,19,Low,RSA,0,Slice_B,Success,Metro_Hub,MTR-0023,Normal,Cloudy,Coal,402.07
TXN9098,2025-02-14 10:58:05,U6325,Dealer,Sell,29.09,37.98,1104.84,15,Medium,RSA,1,Slice_C,Success,Metro_Hub,MTR-0084,Normal,Heatwave,Coal,130.91
TXN9464,2025-02-14 10:13:02,U2402,Dealer,Sell,53.97,37.58,2028.19,27,Medium,RSA,1,Slice_B,Success,Rural_Grid,MTR-0346,Normal,Heatwave,Hydro,0.0
TXN2524,2025-02-14 10:20:05,U4630,Supplier,Buy,37.56,35.82,1345.4,20,Low,RSA,0,Slice_B,Failed,Rural_Grid,MTR-0021,Normal,Cloudy,Hydro,0.0
TXN6419,2025-02-14 10:24:01,U8434,Supplier,Sell,32.63,31.21,1018.38,11,Medium,AES,1,Slice_C,Failed,South_Zone,MTR-0406,Normal,Stormy,Hydro,0.0
TXN4033,2025-02-14 10:13:04,U4545,Authority,,0.0,0.0,0.0,20,Medium,RSA,1,Slice_A,Success,North_Zone,MTR-0182,Normal,Sunny,Solar,0.0
TXN5853,2025-02-14 10:15:31,U6912,Dealer,Sell,11.27,35.34,398.28,13,High,TDKE,1,Slice_A,Failed,Metro_Hub,MTR-0419,Normal,Heatwave,Natural Gas,22.54
TXN5786,2025-02-14 10:47:36,U3068,Authority,,0.0,0.0,0.0,29,Medium,AES,1,Slice_A,Failed,South_Zone,MTR-0374,Normal,Stormy,Natural Gas,0.0
TXN5658,2025-02-14 10:32:02,U8843,Supplier,Sell,26.59,30.51,811.26,20,High,TDKE,1,Slice_A,Pending,Industrial_Park,MTR-0149,Normal,Heatwave,Solar,0.0
TXN9056,2025-02-14 10:05:03,U1878,Dealer,Buy,83.0,39.49,3277.67,7,High,TDKE,1,Slice_A,Failed,North_Zone,MTR-0075,Normal,Stormy,Wind,0.0
TXN7818,2025-02-14 10:41:23,U4697,Authority,,0.0,0.0,0.0,17,Medium,RSA,1,Slice_B,Failed,Metro_Hub,MTR-0151,Normal,Cloudy,Hydro,0.0
TXN8025,2025-02-14 10:20:50,U1986,Authority,,0.0,0.0,0.0,28,High,TDKE,1,Slice_A,Failed,Industrial_Park,MTR-0395,Normal,Cloudy,Wind,0.0
TXN4457,2025-02-14 10:18:03,U2330,Dealer,Buy,25.64,30.75,788.43,5,Medium,RSA,1,Slice_C,Failed,Rural_Grid,MTR-0344,Normal,Heatwave,Natural Gas,51.28
TXN8699,2025-02-14 10:19:52,U1534,Dealer,Sell,73.63,37.03,2726.52,19,High,TDKE,1,Slice_C,Success,South_Zone,MTR-0128,Normal,Cloudy,Coal,331.33
TXN5334,2025-02-14 10:53:46,U4241,Supplier,Buy,59.01,36.48,2152.68,13,High,TDKE,1,Slice_A,Success,Industrial_Park,MTR-0068,Normal,Heatwave,Solar,0.0
TXN3718,2025-02-14 10:54:06,U6039,Authority,,0.0,0.0,0.0,28,Low,RSA,0,Slice_B,Success,Rural_Grid,MTR-0039,Normal,Stormy,Wind,0.0
TXN8679,2025-02-14 10:47:00,U5982,Authority,,0.0,0.0,0.0,17,Medium,RSA,1,Slice_B,Success,North_Zone,MTR-0377,Normal,Sunny,Solar,0.0
TXN1653,2025-02-14 10:29:29,U6280,Authority,,0.0,0.0,0.0,13,High,TDKE,1,Slice_A,Success,South_Zone,MTR-0087,Normal,Clear Night,Natural Gas,0.0
TXN1339,2025-02-14 10:52:12,U5415,Authority,,0.0,0.0,0.0,6,High,TDKE,1,Slice_B,Failed,Metro_Hub,MTR-0464,Normal,Heatwave,Solar,0.0
TXN8245,2025-02-14 10:18:59,U3973,Authority,,0.0,0.0,0.0,18,Low,RSA,0,Slice_A,Pending,Rural_Grid,MTR-0075,Normal,Cloudy,Wind,0.0
TXN6700,2025-02-14 10:27:52,U6460,Supplier,Buy,87.2,33.3,2903.76,27,Medium,RSA,1,Slice_C,Pending,Rural_Grid,MTR-0348,Normal,Stormy,Wind,0.0
TXN1601,2025-02-14 10:31:02,U2442,Supplier,Sell,39.09,39.7,1551.87,17,Low,AES,0,Slice_C,Failed,Industrial_Park,MTR-0419,Normal,Clear Night,Wind,0.0
TXN8569,2025-02-14 10:28:12,U1888,Dealer,Sell,66.04,34.98,2310.08,19,High,TDKE,1,Slice_A,Pending,South_Zone,MTR-0343,Normal,Stormy,Coal,297.18
TXN9998,2025-02-14 10:08:56,U5719,Supplier,Sell,20.93,39.73,831.55,24,High,TDKE,1,Slice_C,Success,Metro_Hub,MTR-0270,Normal,Clear Night,Natural Gas,41.86
TXN6091,2025-02-14 10:37:36,U1224,Authority,,0.0,0.0,0.0,18,High,TDKE,1,Slice_A,Success,North_Zone,MTR-0179,Normal,Cloudy,Natural Gas,0.0
TXN8560,2025-02-14 10:08:01,U3522,Supplier,Sell,55.8,32.73,1826.33,20,Medium,AES,1,Slice_B,Failed,North_Zone,MTR-0106,Normal,Cloudy,Hydro,0.0
TXN3369,2025-02-14 10:26:11,U4122,Authority,,0.0,0.0,0.0,21,Low,AES,0,Slice_A,Pending,Industrial_Park,MTR-0158,Normal,Sunny,Coal,0.0
TXN7798,2025-02-14 10:23:12,U9318,Supplier,Buy,35.46,32.99,1169.83,23,Low,RSA,0,Slice_A,Pending,South_Zone,MTR-0317,Normal,Clear Night,Wind,0.0
TXN9824,2025-02-14 10:33:03,U6654,Supplier,Sell,50.98,33.22,1693.56,11,Low,AES,0,Slice_C,Pending,Rural_Grid,MTR-0185,Normal,Heatwave,Natural Gas,101.96
TXN4826,2025-02-14 10:58:26,U7730,Dealer,Sell,77.02,37.05,2853.59,30,Medium,RSA,1,Slice_C,Failed,North_Zone,MTR-0203,Normal,Stormy,Natural Gas,154.04
TXN3492,2025-02-14 10:33:48,U1606,Dealer,Sell,88.27,38.74,3419.58,19,High,TDKE,1,Slice_C,Pending,Industrial_Park,MTR-0453,Normal,Cloudy,Wind,0.0
TXN1251,2025-02-14 10:49:19,U3361,Supplier,Buy,16.73,37.82,632.73,13,Medium,RSA,1,Slice_C,Success,North_Zone,MTR-0014,Normal,Cloudy,Wind,0.0
TXN6383,2025-02-14 10:58:11,U9742,Supplier,Sell,66.41,38.87,2581.36,20,Low,AES,0,Slice_C,Success,Industrial_Park,MTR-0449,Normal,Clear Night,Hydro,0.0
TXN4846,2025-02-14 10:43:05,U5708,Dealer,Buy,49.06,30.98,1519.88,25,Low,AES,0,Slice_B,Success,Industrial_Park,MTR-0267,Normal,Cloudy,Coal,220.77
TXN5906,2025-02-14 10:01:58,U1753,Supplier,Buy,36.4,33.75,1228.5,9,High,TDKE,1,Slice_C,Pending,Metro_Hub,MTR-0242,Normal,Heatwave,Hydro,0.0
TXN3950,2025-02-14 10:11:36,U3868,Dealer,Sell,65.77,32.41,2131.61,23,High,TDKE,1,Slice_A,Pending,Rural_Grid,MTR-0108,Normal,Cloudy,Wind,0.0
TXN5161,2025-02-14 10:31:22,U5183,Authority,,0.0,0.0,0.0,5,Medium,RSA,1,Slice_C,Failed,South_Zone,MTR-0372,Normal,Cloudy,Wind,0.0
TXN3588,2025-02-14 10:05:02,U8237,Supplier,Sell,67.5,34.24,2311.2,13,Medium,RSA,1,Slice_A,Pending,South_Zone,MTR-0065,Normal,Cloudy,Wind,0.0
TXN8916,2025-02-14 10:07:16,U4886,Supplier,Sell,61.73,39.93,2464.88,14,High,TDKE,1,Slice_C,Pending,North_Zone,MTR-0038,Normal,Stormy,Wind,0.0
TXN5497,2025-02-14 10:00:33,U1803,Authority,,0.0,0.0,0.0,28,Medium,RSA,1,Slice_A,Failed,Metro_Hub,MTR-0290,Normal,Cloudy,Natural Gas,0.0
TXN6772,2025-02-14 10:14:57,U4115,Authority,,0.0,0.0,0.0,13,Low,AES,0,Slice_C,Success,South_Zone,MTR-0076,Normal,Clear Night,Coal,0.0
TXN1645,2025-02-14 10:21:05,U8222,Dealer,Sell,75.91,30.9,2345.62,14,Medium,RSA,1,Slice_A,Success,Industrial_Park,MTR-0339,Normal,Clear Night,Wind,0.0
TXN3165,2025-02-14 10:53:41,U9837,Supplier,Sell,84.74,32.57,2759.98,20,Medium,RSA,1,Slice_A,Pending,South_Zone,MTR-0448,Normal,Heatwave,Natural Gas,169.48
TXN2233,2025-02-14 10:09:36,U4696,Authority,,0.0,0.0,0.0,28,Low,RSA,0,Slice_C,Pending,South_Zone,MTR-0210,Normal,Clear Night,Wind,0.0
TXN2479,2025-02-14 10:53:58,U7464,Dealer,Sell,58.29,34.55,2013.92,26,Low,RSA,0,Slice_C,Pending,South_Zone,MTR-0371,Normal,Cloudy,Wind,0.0
TXN7086,2025-02-14 10:07:23,U4830,Supplier,Buy,65.76,39.43,2592.92,15,Low,AES,0,Slice_C,Success,North_Zone,MTR-0056,Normal,Clear Night,Coal,295.92
TXN8606,2025-02-14 10:47:51,U5951,Authority,,0.0,0.0,0.0,18,High,TDKE,1,Slice_A,Success,Rural_Grid,MTR-0418,Normal,Heatwave,Solar,0.0
TXN1609,2025-02-14 10:20:46,U9071,Dealer,Buy,31.13,35.38,1101.38,17,Medium,RSA,1,Slice_C,Failed,Industrial_Park,MTR-0017,Normal,Sunny,Natural Gas,62.26
TXN9850,2025-02-14 10:28:36,U3531,Supplier,Buy,85.03,36.16,3074.68,13,High,TDKE,1,Slice_C,Pending,Rural_Grid,MTR-0375,Normal,Heatwave,Solar,0.0
TXN4559,2025-02-14 10:30:16,U8285,Dealer,Sell,18.94,36.86,698.13,22,Low,RSA,0,Slice_A,Pending,Rural_Grid,MTR-0170,Normal,Clear Night,Natural Gas,37.88
TXN5520,2025-02-14 10:12:57,U3001,Supplier,Buy,69.65,36.42,2536.65,24,High,TDKE,1,Slice_A,Pending,North_Zone,MTR-0157,Normal,Stormy,Wind,0.0
TXN4990,2025-02-14 10:08:35,U4362,Dealer,Buy,62.77,38.13,2393.42,12,Medium,AES,1,Slice_C,Success,Metro_Hub,MTR-0065,Normal,Sunny,Solar,0.0
TXN5542,2025-02-14 10:58:36,U3370,Dealer,Sell,81.87,31.1,2546.16,5,High,TDKE,1,Slice_A,Pending,North_Zone,MTR-0078,Normal,Cloudy,Natural Gas,163.74
TXN4898,2025-02-14 10:40:11,U6304,Dealer,Buy,33.88,31.27,1059.43,18,Low,AES,0,Slice_C,Success,North_Zone,MTR-0048,Normal,Sunny,Natural Gas,67.76
TXN8802,2025-02-14 10:30:36,U6931,Authority,,0.0,0.0,0.0,23,High,TDKE,1,Slice_B,Failed,Industrial_Park,MTR-0452,Normal,Stormy,Coal,0.0
TXN4629,2025-02-14 10:41:59,U1710,Authority,,0.0,0.0,0.0,30,Low,RSA,0,Slice_B,Failed,Industrial_Park,MTR-0457,Normal,Heatwave,Natural Gas,0.0
TXN1510,2025-02-14 10:04:09,U8847,Supplier,Sell,71.75,34.9,2504.07,19,High,TDKE,1,Slice_A,Pending,Metro_Hub,MTR-0313,Normal,Heatwave,Coal,322.88
TXN3430,2025-02-14 10:04:29,U3067,Supplier,Sell,44.28,35.97,1592.75,14,Medium,RSA,1,Slice_A,Failed,Metro_Hub,MTR-0432,Normal,Heatwave,Hydro,0.0
TXN2874,2025-02-14 10:58:13,U4522,Supplier,Sell,89.93,34.14,3070.21,19,Medium,RSA,1,Slice_C,Success,North_Zone,MTR-0309,Normal,Cloudy,Natural Gas,179.86
TXN6120,2025-02-14 10:29:08,U6120,Authority,,0.0,0.0,0.0,13,Medium,AES,1,Slice_C,Pending,Rural_Grid,MTR-0162,Normal,Clear Night,Coal,0.0
TXN2099,2025-02-14 10:06:13,U2398,Dealer,Sell,18.69,37.39,698.82,30,High,TDKE,1,Slice_C,Success,Metro_Hub,MTR-0288,Normal,Sunny,Natural Gas,37.38
TXN6400,2025-02-14 10:45:44,U3002,Supplier,Sell,88.62,39.41,3492.51,18,Low,AES,0,Slice_B,Failed,South_Zone,MTR-0150,Normal,Heatwave,Natural Gas,177.24
TXN6119,2025-02-14 10:24:00,U2697,Authority,,0.0,0.0,0.0,21,High,TDKE,1,Slice_A,Failed,South_Zone,MTR-0187,Normal,Clear Night,Natural Gas,0.0
TXN8900,2025-02-14 10:15:18,U2773,Supplier,Sell,20.34,32.79,666.95,12,Medium,AES,1,Slice_C,Failed,Industrial_Park,MTR-0349,Normal,Heatwave,Solar,0.0
TXN5381,2025-02-14 10:01:58,U3955,Supplier,Sell,92.94,33.51,3114.42,10,High,TDKE,1,Slice_C,Failed,Industrial_Park,MTR-0179,Normal,Stormy,Wind,0.0
TXN7566,2025-02-14 10:04:45,U3324,Authority,,0.0,0.0,0.0,25,High,TDKE,1,Slice_A,Failed,Metro_Hub,MTR-0173,Normal,Sunny,Solar,0.0
TXN9691,2025-02-14 10:14:41,U7163,Supplier,Sell,40.68,33.7,1370.92,28,Medium,AES,1,Slice_A,Success,South_Zone,MTR-0404,Normal,Stormy,Hydro,0.0
TXN3579,2025-02-14 10:51:30,U1815,Authority,,0.0,0.0,0.0,7,Medium,RSA,1,Slice_C,Pending,Rural_Grid,MTR-0221,Normal,Sunny,Coal,0.0
TXN8957,2025-02-14 10:41:26,U8242,Supplier,Sell,29.4,35.12,1032.53,16,Medium,AES,1,Slice_B,Failed,Industrial_Park,MTR-0490,Normal,Sunny,Natural Gas,58.8
TXN8972,2025-02-14 10:35:58,U6053,Dealer,Buy,45.57,35.99,1640.06,5,High,TDKE,1,Slice_B,Success,Metro_Hub,MTR-0228,Normal,Sunny,Coal,205.06
TXN3248,2025-02-14 10:52:10,U5186,Supplier,Sell,20.8,34.97,727.38,18,High,TDKE,1,Slice_A,Pending,Rural_Grid,MTR-0042,Normal,Clear Night,Wind,0.0
TXN9725,2025-02-14 10:48:02,U4770,Authority,,0.0,0.0,0.0,22,Low,RSA,0,Slice_A,Pending,Industrial_Park,MTR-0046,Normal,Clear Night,Natural Gas,0.0
TXN1693,2025-02-14 10:29:46,U1307,Supplier,Buy,87.59,35.76,3132.22,23,Medium,RSA,1,Slice_B,Success,Metro_Hub,MTR-0451,Normal,Stormy,Wind,0.0
TXN7636,2025-02-14 10:01:25,U6321,Dealer,Sell,84.88,39.2,3327.3,7,Medium,AES,1,Slice_A,Pending,North_Zone,MTR-0174,Normal,Stormy,Wind,0.0
TXN7560,2025-02-14 10:35:46,U2288,Supplier,Sell,77.12,32.22,2484.81,29,High,TDKE,1,Slice_A,Failed,Metro_Hub,MTR-0003,Normal,Clear Night,Coal,347.04
